,0
0,Manhattan - East Side
1,Queens
2,Neighborhood
3,Manhattan
4,
5,Sunnyside Queens
6,anyplace
7,L.I. (Queens) or Bronx
8,Brooklyn or Manhattan
9,Any
10,"Brooklyn, Manhattan "
11,"Manhattan, Queens "
12,Manhattan - this area
13,L.I. Queens
14,Mid Manhattan or Upper Manhattan
15,Midtown Manhattan
16,Sunnyside L.I.
17,Astoria or Manhattan
18,Jersey
19,Manhattan (West Side)
20,Long Island City Queens
21,Same
22,West side
23,Bronx. Washington Heights
24,Manhattan or queens
25,Mid Manhattan
26,West Side or Village
27,Manhattan or Brooklyn
28,"Mid Manhattan, West"
29,Mid Manhattan up to 104
30,Long Island
31,Staten Island
32,"Manhattan, bronx "
33,Queens - Manhattan
34,Brooklyn
35,Bonx or L. I. (Queens)
36,Connecticut
37,Manhattan or bronx
38,Manhattan or Long Island
39,any
40,bronx
41,This area - Manhattan
42,West Bronx
43,Bronx-Washington Heights
44,Manhattan-Brooklyn
45,Mid Manhattan - West Manhattan - Long Island
46,Queens - Astoria - Bay Side
47,Manhattan - Mid or West
48,West Side Manhattan
49,Manhattan - West Side
50,Same - Manhattan
51,?
52,Manhattan or Queens
53,[unintelligible]
54,"Bronx, Manhattan"
55,[Unintelligible]
56,queens
57,"Manhattan, Long Island, bronx "
58,staten island
59,bronx or Long Island
60,Astoria
61,upstate
62,Outside N.Y. suburbs
63,Upstate
64,will relocate send
65,will try to relocate self
66,Brooklyn or queens
67,will relocate self
68,In this area - Manahattan
69,Flushing (Queens) or L.I.
70,Undecided
71,East Side (Manhattan)
72,Manhattan or Astoria
73,Manhattan or Bronx
74,Brooklyn or Long Island
75,Manhattan - Washington Heights
76,same
77,Near
78,W 50's
79,Middle Manhattan
80,Long Island or Manhattan
81,W 60s
82,East Side Manhattan or West
83,Same Area
84,Anywhere
85,Bronx or Manhattan
86,Bronx
87,Manhattan east
88,New Jersey
89,L.I
90,Other area
91,Long Island or Upper Manhattan
92,westside
93,Same Vecinity
94,"Astoria, L.I."
95,Manhattan - Neighborhood
96,Manhattan - Bronx
97,Manhattan - Lower Manhattan
98,Queens or Manhattan
99,Manhattan - Midtown
100,Manhattan - Same
101,"Brooklyn, Manhattan"
102,Manhattan - West Side Uptown
103,Manhattan - Westside (23st to 80st)
104,anywhere
105,Anywhere or Manhattan
106,26 St-49st Westside
107,Manhattan - anywhere
108,Manhattan - Mid
109,Manhattan - Mid West Side
110,Manhattan Long Island
111,Manhattan - Lower Man or Mid West
112,Long Island (Queens) Astoria
113,manhattan
114,"Queens, Manhattan"
115,Manhattan - same neighborhood
116,Long Island (Queens)
117,Manhattan; ground floor
118,Manhattan - similar area
119,anywhere but brooklyn
120,Manhattan - Yorkville
121,Manhattan - East Asia
122,bronx or Manhattan
123,Washington Heights 173rd
124,Brooklyn + Manhattan
125,Suburb
126,Amsterdam- Anywhere
127,Not Harlem Downtown Only
128,Uptown Prospect 102 + Col. Ave.
129,Lower East or West Side
130,Manhattan Any Place
131,West Side
132,"Manhattan, bronx, Brooklyn "
133,flushing queens
134,Manhattan-West
135,Queens Manhattan
136,Manhattan- West Side
137,Uptown
138,Manhattan West Side
139,"queens, bronx "
140,Manhattan-Queens
141,Bronx-Manhattan
142,Manhattan-Bronx
143,North Bronx
144,Manhattan U.T.
145,Any- Bronx Preferred
146,Bronx and Manhattan
147,Jackson Heights Area
148,Lower Manhattan
149,Upper Manhattan
150,"Manhattan, Bronx "
151,New York
152,This area
153,Lower East Side
154,Jetson Heights Long Island
155,Manhattan near Village
156,"Manhattan, Bronx East or West "
157,90's-100's
158,Washington Heights or W 28
159,W 30'S
160,This Area
161,Manhattan- West
162,"bronx, Brooklyn "
163,Bridge Port Connecticut
164,no preference
165,"Manhattan , bronx "
